funding_source,funding_source_cleaned,drilling_contractor,drilling_contractor_cleaned
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue water drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue water drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
Post Code,Post code,GIMM water experts and drilling ,GIMM water experts and drilling
Post Code,Post code,GIMM water experts and drilling,GIMM water experts and drilling
Post Code,Post code,GIMM water experts and drilling ,GIMM water experts and drilling
Post Code,Post code,GIMM water experts and drilling,GIMM water experts and drilling
Post Code ,Post code,GIMM,GIMM water experts and drilling
Post code,Post code,GIMME ,GIMM water experts and drilling
Post Code,Post code,GIMM Water experts and drilling,GIMM water experts and drilling
Post Code,Post code,GIMM water experts and Drilling,GIMM water experts and drilling
Habitat for Humanity,Habitat for Humanity,China Gansu,China Gansu
Habitat for Humanity,Habitat for Humanity,China Gansu,China Gansu
Post Code,Post code,China Gansu,China Gansu
Post Code,Post code,China Gansu,China Gansu
Post Code ,Post code,China Gansu,China Gansu
Habitat for Humanity,Habitat for Humanity,China Gansu,China Gansu
Post Code,Post code,China Gansu Engineering Co.,China Gansu
Post Code,Post code,China Gansu Engineering Co. ,China Gansu
Post Code,Post code,China Gansu,China Gansu
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd,Blue Water Drilling Ltd
One Foundation,One Foundation,Blue Water Drilling Ltd,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
GALE family,GALE family,Nyaungano Drilling company ,Nyaungano Drilling company
,,,
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue water,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue water,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue water,Blue Water Drilling Ltd
One foundation,One Foundation,Blue Water Drilling  Ltd,Blue Water Drilling Ltd
One Foundation ,One Foundation,Blue Water Drilling Ltd ,Blue Water Drilling Ltd
One foundation ,One Foundation,Blue Water Drilling Ltd,Blue Water Drilling Ltd
Habitat for Humanity,Habitat for Humanity,Mthunzi Wa Kachere,Mthunzi Wa Kachere
Habitat for Humanity,Habitat for Humanity,Dec Construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec Construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec Construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec Construction,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec construction Limited,Dec Construction
Habitat for Humanity,Habitat for Humanity,Dec Construction,Dec Construction
Dr Rochelle Holm,Dr Rochelle Holm,Patel and Ghodaniya,Patel and Ghodaniya
Dr Rochelle Holm,Dr Rochelle Holm,Patel and Godhaniya ,Patel and Ghodaniya
SADC-GMI,SADC - GMI,Blue water Drilling company,Blue Water Drilling Ltd
SADC-GMI,SADC - GMI,Blue Water Drilling Company ,Blue Water Drilling Ltd
SADC - GMI,SADC - GMI,Blue Water Drilling Company ,Blue Water Drilling Ltd
SADC -GMI ,SADC - GMI,Blue water Drilling company ,Blue Water Drilling Ltd
SADC -GMI,SADC - GMI,Blue water Drilling Company ,Blue Water Drilling Ltd
Hilton Foundation ,Hilton Foundation,Rymech,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
,,,
Hilton Foundation ,Hilton Foundation,Rymech,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
Hilton Foundation ,Hilton Foundation,Rymech,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
Hilton Foundation ,Hilton Foundation,Rymech ,Rymech
